Rank,Name,Net Worth,Age,Source,Country
1,Elon Musk,$251.3 B,52,"Tesla, SpaceX",United States
2,Bernard Arnault & family,$200.7 B,74,LVMH,France
3,Jeff Bezos,$174.2 B,59,Amazon,United States
4,Larry Ellison,$135.3 B,79,Oracle,United States
5,Mark Zuckerberg,$125.3 B,39,Facebook,United States
6,Bill Gates,$119.6 B,68,Microsoft,United States
7,Warren Buffett,$118.6 B,93,Berkshire Hathaway,United States
8,Larry Page,$117.2 B,50,Google,United States
9,Sergey Brin,$112.4 B,50,Google,United States
10,Steve Ballmer,$112.2 B,67,Microsoft,United States
11,Carlos Slim Helu & family,$105.3 B,83,Telecom,Mexico
12,Amancio Ortega,$101.8 B,87,Zara,Spain
13,Mukesh Ambani,$100.0 B,66,Diversified,India
14,Francoise Bettencourt Meyers & family,$98.9 B,70,L'Oréal,France
15,Michael Bloomberg,$96.3 B,81,Bloomberg LP,United States
16,Gautam Adani,$73.5 B,61,"Infrastructure, commodities",India
17,Michael Dell,$69.4 B,58,Dell Technologies,United States
18,Zhong Shanshan,$67.3 B,69,"Beverages, pharmaceuticals",China
19,Jim Walton & family,$66.2 B,75,Walmart,United States
20,Rob Walton & family,$65.5 B,79,Walmart,United States
21,David Thomson & family,$61.3 B,66,Media,Canada
22,Alice Walton,$61.3 B,74,Walmart,United States
23,Julia Koch & family,$59.3 B,61,Koch Industries,United States
24,Prajogo Pangestu,$54.4 B,79,"Petrochemicals, energy",Indonesia
25,Charles Koch & family,$54.0 B,88,Koch Industries,United States
26,Colin Huang,$51.6 B,43,E-commerce,China
27,Dieter Schwarz,$49.3 B,84,Retail,Germany
28,Jensen Huang,$44.1 B,60,Semiconductors,United States
29,Zhang Yiming,$43.4 B,40,TikTok,China
30,Phil Knight & family,$42.9 B,85,Nike,United States
31,MacKenzie Scott,$40.7 B,53,Amazon,United States
32,Giovanni Ferrero,$40.2 B,59,"Nutella, chocolates",Italy
33,Mark Mateschitz,$39.8 B,31,Red Bull,Austria
34,Stephen Schwarzman,$38.8 B,76,Investments,United States
35,John Mars,$38.7 B,88,"Candy, pet food",United States
35,Jacqueline Mars,$38.7 B,84,"Candy, pet food",United States
37,Ken Griffin,$37.9 B,55,Hedge funds,United States
38,Tadashi Yanai & family,$37.4 B,74,Fashion retail,Japan
39,Alain Wertheimer,$36.6 B,75,Chanel,France
39,Gerard Wertheimer,$36.6 B,72,Chanel,France
41,Li Ka-shing,$36.3 B,95,Diversified,Hong Kong
42,Klaus-Michael Kuehne,$34.5 B,86,Shipping,Germany
43,Gina Rinehart,$33.7 B,69,Mining,Australia
44,Shiv Nadar,$33.4 B,78,software services,India
45,Miriam Adelson & family,$32.9 B,78,Casinos,United States
46,Ma Huateng,$32.5 B,52,Online games,China
47,Len Blavatnik,$31.9 B,66,"Music, chemicals",United States
48,François Pinault & family,$31.4 B,87,Luxury goods,France
49,Reinhold Wuerth & family,$31.2 B,88,Fasteners,Germany
50,Jim Simons,$30.7 B,85,Hedge funds,United States
51,Germán Larrea Mota Velasco & family,$30.4 B,70,Mining,Mexico
52,Gianluigi Aponte,$30.2 B,83,Shipping,Switzerland
52,Rafaela Aponte-Diamant,$30.2 B,78,Shipping,Switzerland
54,William Ding,$29.8 B,52,Online games,China
55,Jeff Yass,$28.9 B,65,"Trading, investments",United States
56,Daniel Gilbert,$28.8 B,61,Quicken Loans,United States
57,Low Tuck Kwong,$28.3 B,75,Coal,Indonesia
58,Abigail Johnson,$28.3 B,62,Fidelity,United States
59,Savitri Jindal & family,$28.3 B,73,Steel,India
60,Lee Shau Kee,$28.0 B,95,Real estate,Hong Kong
61,Thomas Peterffy,$26.6 B,79,Discount brokerage,United States
62,R. Budi Hartono,$26.0 B,82,"Banking, tobacco",Indonesia
63,Andrew Forrest,$25.9 B,62,Mining,Australia
64,Stefan Quandt,$25.7 B,57,BMW,Germany
65,Emmanuel Besnier,$25.6 B,53,Cheese,France
66,Harold Hamm & family,$25.2 B,78,Oil & gas,United States
67,Andrey Melnichenko & family,$25.0 B,51,"Fertilizers, coal",Russia
68,Michael Hartono,$24.9 B,84,"Banking, tobacco",Indonesia
69,Jack Ma,$24.9 B,59,E-commerce,China
70,Iris Fontbona & family,$24.8 B,81,Mining,Chile
71,Vladimir Lisin,$24.8 B,67,"Steel, transport",Russia
72,Susanne Klatten,$24.7 B,61,"BMW, pharmaceuticals",Germany
73,Masayoshi Son,$24.4 B,66,"telecom, investments",Japan
74,Leonid Mikhelson & family,$24.1 B,68,"Gas, chemicals",Russia
75,Robin Zeng,$24.0 B,54,Batteries,Hong Kong
76,Vagit Alekperov,$23.7 B,73,Oil,Russia
77,James Ratcliffe,$23.7 B,70,Chemicals,United Kingdom
78,Lukas Walton,$23.6 B,37,Walmart,United States
79,Cyrus Poonawalla,$23.2 B,82,Vaccines,India
80,John Menard Jr,$22.9 B,83,Home improvement stores,United States
81,Thomas Frist Jr & family,$22.4 B,85,Hospitals,United States
82,He Xiangjian & family,$22.3 B,81,Home appliances,China
83,Vladimir Potanin,$22.3 B,62,Metals,Russia
84,Rick Cohen & family,$22.2 B,71,Warehouse automation,United States
85,Eyal Ofer,$21.4 B,73,"Real estate, shipping",Israel
86,Diane Hendricks,$21.3 B,76,Building supplies,United States
87,Alexey Mordashov & family,$21.2 B,58,"Steel, investments",Russia
88,Dilip Shanghvi,$20.9 B,68,Pharmaceuticals,India
89,Gennady Timchenko,$20.8 B,71,"Oil, gas",Russia
90,Takemitsu Takizaki,$20.8 B,78,Sensors,Japan
91,David Tepper,$20.6 B,66,Hedge funds,United States
92,Eric Schmidt,$20.4 B,68,Google,United States
93,Vinod Adani,$20.2 B,74,"Infrastructure, commodities",Cyprus
94,Kumar Birla,$19.8 B,56,Commodities,India
95,Steve Cohen,$19.8 B,67,Hedge funds,United States
96,Eduardo Saverin,$19.8 B,41,Facebook,Brazil
97,Stefan Persson,$19.5 B,76,H&M,Sweden
98,Vicky Safra & family,$18.9 B,70,Banking,Brazil
99,Theo Albrecht Jr & family,$18.4 B,73,"Aldi, Trader Joe's",Germany
100,Radhakishan Damani,$18.0 B,69,"Retail, investments",India
101,Donald Bren,$18.0 B,91,Real estate,United States
102,Rupert Murdoch & family,$17.9 B,92,"Newspapers, TV network",United States
103,Beate Heister,$17.5 B,,Supermarkets,Germany
103,Karl Albrecht Jr. & family,$17.5 B,,Supermarkets,Germany
105,Lakshmi Mittal,$17.3 B,73,Steel,India
106,Renata Kellnerova & family,$16.9 B,56,"Finance, telecommunications",Czech Republic
107,Jorge Paulo Lemann & family,$16.9 B,84,Beer,Brazil
108,Qin Yinglin,$16.6 B,58,Pig breeding,China
109,Kushal Pal Singh,$16.5 B,92,Real estate,India
110,Michael Platt,$16.0 B,55,Hedge funds,United Kingdom
111,Stanley Kroenke,$15.7 B,76,"Sports, real estate",United States
112,Eric Li,$15.6 B,60,Automobiles,China
113,Harry Triguboff,$15.5 B,90,Real estate,Australia
114,Jan Koum,$15.4 B,47,WhatsApp,United States
115,Ray Dalio,$15.4 B,74,Hedge funds,United States
116,Li Xiting,$15.3 B,73,medical devices,Singapore
117,Wang Chuanfu,$15.2 B,57,"Batteries, automobiles",China
118,Andrew Beal,$15.1 B,71,"Banks, real estate",United States
119,Changpeng Zhao,$15.0 B,46,Cryptocurrency exchange,Canada
120,Wang Wei,$15.0 B,53,Package delivery,China
121,Philip Anschutz,$15.0 B,84,"Energy, sports, entertainment",United States
122,Leonard Lauder,$14.9 B,90,Estee Lauder,United States
123,Mike Cannon-Brookes,$14.9 B,44,Software,Australia
124,David Duffield,$14.8 B,83,Business software,United States
125,Idan Ofer,$14.8 B,68,Shipping,Israel
126,Autry Stephens,$14.8 B,85,Oil,United States
127,Ravi Jaipuria,$14.6 B,69,"Soft drinks, fast food",India
128,George Kaiser,$14.5 B,81,"Oil & gas, banking",United States
129,Alisher Usmanov,$14.5 B,70,"Steel, telecom, investments",Russia
130,David Green & family,$14.4 B,82,Retail,United States
131,Peter Woo,$14.4 B,77,Real estate,Hong Kong
132,Charlene de Carvalho-Heineken & family,$14.3 B,69,Heineken,Netherlands
133,Uday Kotak,$14.3 B,64,Banking,India
134,Scott Farquhar,$14.2 B,44,Software,Australia
135,Jerry Jones,$13.8 B,81,Dallas Cowboys,United States
136,John Fredriksen,$13.8 B,78,Shipping,Cyprus
137,Giorgio Armani,$13.8 B,89,Luxury goods,Italy
138,Dustin Moskovitz,$13.8 B,39,Facebook,United States
139,Laurene Powell Jobs & family,$13.7 B,60,"Apple, Disney",United States
140,Ricardo Salinas Pliego & family,$13.5 B,68,"Retail, media",Mexico
141,Jiang Rensheng & family,$13.2 B,70,Vaccines,China
142,Goh Cheng Liang,$13.2 B,96,Paints,Singapore
143,Nicolas Puech,$13.1 B,80,Hermes,France
144,Andreas von Bechtolsheim & family,$13.0 B,68,Google,Germany
145,Joseph Lau,$13.0 B,72,Real estate,Hong Kong
146,Dang Yanbao,$13.0 B,50,Coal,China
147,Lei Jun,$13.0 B,54,Smartphones,China
148,Mikhail Fridman,$12.8 B,59,"Oil, banking, telecom",Russia
149,Jay Chaudhry,$12.6 B,64,Security software,United States
150,Jeffery Hildebrand,$12.6 B,64,Oil,United States
151,Leon Black,$12.4 B,72,Private equity,United States
152,Lu Xiangyang,$12.4 B,61,"Automobiles, batteries",China
153,Donald Newhouse,$12.4 B,94,Media,United States
154,Henry Samueli,$12.3 B,69,Semiconductors,United States
155,Kwong Siu-hing,$12.3 B,94,Real estate,Hong Kong
156,David Cheriton,$12.3 B,72,Google,Canada
157,Dhanin Chearavanont,$12.3 B,84,Diversified,Thailand
158,Lui Che Woo,$12.3 B,94,Casinos/hotels,Hong Kong
159,Wei Jianjun & family,$12.3 B,59,Automobiles,China
160,Shahid Khan,$12.0 B,73,Auto parts,United States
161,Azim Premji,$11.8 B,78,Software services,India
162,Israel Englander,$11.8 B,75,Hedge funds,United States
163,Edward Johnson IV,$11.5 B,59,Fidelity,United States
164,Alexander Gerko,$11.5 B,44,Trading,United Kingdom
165,Michael Rubin,$11.5 B,51,Online retail,United States
166,Pavel Durov,$11.5 B,39,Messaging app,United Arab Emirates
167,Christy Walton,$11.5 B,74,Walmart,United States
168,Bubba Cathy,$11.5 B,69,Chick-fil-A,United States
168,Dan Cathy,$11.5 B,70,Chick-fil-A,United States
168,Trudy Cathy White,$11.5 B,68,Chick-fil-A,United States
171,George Roberts,$11.4 B,80,Private equity,United States
172,Anthony Pratt,$11.4 B,63,Manufacturing,Australia
173,John Tu,$11.4 B,82,Computer hardware,United States
174,David Sun,$11.4 B,72,Computer hardware,United States
175,John Doerr,$11.2 B,72,Venture capital,United States
176,Marcel Herrmann Telles,$11.2 B,74,Beer,Brazil
177,Melker Schorling & family,$11.2 B,76,Investments,Sweden
178,Sky Xu,$11.2 B,40,E-commerce,China
179,Charoen Sirivadhanabhakdi,$11.2 B,79,"Alcohol, real estate",Thailand
180,Robert Kraft,$11.1 B,82,"Manufacturing, New England Patriots",United States
181,Huang Shilin,$11.1 B,57,Batteries,China
182,Mikhail Prokhorov,$11.0 B,58,Investments,Russia
183,Sarath Ratanavadi,$10.9 B,58,energy,Thailand
184,Eric Smidt,$10.7 B,64,Hardware stores,United States
185,Suleiman Kerimov & family,$10.7 B,57,Gold,Russia
186,Melinda French Gates,$10.6 B,59,Microsoft,United States
187,Robert Kuok,$10.6 B,100,"Palm oil, shipping, property",Malaysia
188,Gong Hongjia & family,$10.5 B,58,Video surveillance,Hong Kong
189,Viktor Rashnikov,$10.5 B,75,Steel,Russia
190,Henry Nicholas III,$10.5 B,64,Semiconductors,United States
191,Henry Kravis,$10.4 B,79,Private equity,United States
192,Johann Rupert & family,$10.3 B,73,Luxury goods,South Africa
193,Andreas Struengmann & family,$10.3 B,73,Pharmaceuticals,Germany
193,Thomas Struengmann & family,$10.3 B,73,Pharmaceuticals,Germany
195,Barry Lam,$10.3 B,74,Electronics,Taiwan
196,Li Shuirong & family,$10.3 B,67,Petrochemicals,China
197,Georg Schaeffler,$10.2 B,59,Auto parts,Germany
198,Judy Love & family,$10.2 B,86,Gas stations,United States
199,Hasso Plattner & family,$10.1 B,79,Software,Germany
200,Zhang Zhidong,$10.1 B,52,Internet media,China
201,Liu Yongxing,$10.1 B,75,Diversified,China
202,Stephen Ross,$10.1 B,83,Real estate,United States
203,Antonia Ax:son Johnson & family,$10.1 B,80,Diversified,Sweden
204,Jim Pattison,$10.1 B,95,Diversified,Canada
205,Quek Leng Chan,$10.0 B,82,"Banking, property",Malaysia
206,Friedhelm Loh,$10.0 B,77,Manufacturing,Germany
